Test;Time (µs);GFLOPS
FLOPS Scalar FP32;1062993;0.752592
FLOPS Scalar FP64;1043872;0.033321
FLOPS MVE FP16;1000526;3.198318
FLOPS MVE FP32;1000514;1.599178
