Test;Time (µs);GFLOPS
FLOPS Scalar FP32;1063808;0.300806
FLOPS Scalar FP64;1044495;0.013320
FLOPS MVE FP16;1001365;1.278255
FLOPS MVE FP32;1001284;0.639179
