Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Square;31;31;31;CMSIS-DSP;0.338967;1888;10741;1
Square;31;31;31;TillJIT;0.575513;1112;10741;1
Square;31;31;31;ReferenceCM;0.056780;1127;1074;1
Square;32;32;32;CMSIS-DSP;0.365273;1752;9765;1
Square;32;32;32;TillJIT;0.593104;1079;9765;1
Square;32;32;32;ReferenceCM;0.062342;1026;976;1
Square;33;33;33;CMSIS-DSP;0.330050;1939;8904;1
Square;33;33;33;TillJIT;0.535985;1194;8904;1
Square;33;33;33;ReferenceCM;0.059783;1070;890;1
Square;34;34;34;CMSIS-DSP;0.337882;1894;8141;1
Square;34;34;34;TillJIT;0.545565;1173;8141;1
Square;34;34;34;ReferenceCM;0.058866;1087;814;1
Square;35;35;35;CMSIS-DSP;0.345547;1852;7463;1
Square;35;35;35;TillJIT;0.562348;1138;7463;1
Square;35;35;35;ReferenceCM;0.058420;1095;746;1
Square;36;36;36;CMSIS-DSP;0.368838;1735;6858;1
Square;36;36;36;TillJIT;0.597510;1071;6858;1
Square;36;36;36;ReferenceCM;0.063537;1006;685;1
Square;37;37;37;CMSIS-DSP;0.336816;1900;6317;1
Square;37;37;37;TillJIT;0.556963;1149;6317;1
Square;37;37;37;ReferenceCM;0.061171;1045;631;1
Square;38;38;38;CMSIS-DSP;0.343672;1862;5831;1
Square;38;38;38;TillJIT;0.570336;1122;5831;1
Square;38;38;38;ReferenceCM;0.060246;1062;583;1
Square;39;39;39;CMSIS-DSP;0.350648;1825;5394;1
Square;39;39;39;TillJIT;0.595287;1075;5394;1
Square;39;39;39;ReferenceCM;0.059763;1070;539;1
Square;40;40;40;CMSIS-DSP;0.371587;1722;4999;1
Square;40;40;40;TillJIT;0.605939;1056;4999;1
Square;40;40;40;ReferenceCM;0.064582;989;499;1
Square;41;41;41;CMSIS-DSP;0.342172;1870;4642;1
Square;41;41;41;TillJIT;0.548767;1166;4642;1
Square;41;41;41;ReferenceCM;0.062277;1027;464;1
Square;42;42;42;CMSIS-DSP;0.348569;1836;4319;1
Square;42;42;42;TillJIT;0.576551;1110;4319;1
Square;42;42;42;ReferenceCM;0.061408;1040;431;1
Square;43;43;43;CMSIS-DSP;0.354893;1803;4024;1
Square;43;43;43;TillJIT;0.583293;1097;4024;1
Square;43;43;43;ReferenceCM;0.060996;1048;402;1
Square;44;44;44;CMSIS-DSP;0.373993;1711;3756;1
Square;44;44;44;TillJIT;0.597481;1071;3756;1
Square;44;44;44;ReferenceCM;0.065392;977;375;1
Square;45;45;45;CMSIS-DSP;0.346630;1846;3511;1
Square;45;45;45;TillJIT;0.575949;1111;3511;1
Square;45;45;45;ReferenceCM;0.063274;1011;351;1
Square;46;46;46;CMSIS-DSP;0.352555;1815;3287;1
Square;46;46;46;TillJIT;0.583306;1097;3287;1
Square;46;46;46;ReferenceCM;0.062417;1023;328;1
Square;47;47;47;CMSIS-DSP;0.358524;1785;3082;1
Square;47;47;47;TillJIT;0.596982;1072;3082;1
Square;47;47;47;ReferenceCM;0.061972;1032;308;1
Square;48;48;48;CMSIS-DSP;0.375520;1704;2893;1
Square;48;48;48;TillJIT;0.611745;1046;2893;1
Square;48;48;48;Intrinsics;0.452536;1414;2893;1
Square;48;48;48;ReferenceCM;0.066104;967;289;1
Square;49;49;49;CMSIS-DSP;0.350370;1826;2719;1
Square;49;49;49;TillJIT;0.565173;1132;2719;1
Square;49;49;49;ReferenceCM;0.064086;995;271;1
Square;50;50;50;CMSIS-DSP;0.355812;1798;2559;1
Square;50;50;50;TillJIT;0.576351;1110;2559;1
Square;50;50;50;ReferenceCM;0.063307;1007;255;1
Square;51;51;51;CMSIS-DSP;0.361326;1771;2412;1
Square;51;51;51;TillJIT;0.587611;1089;2412;1
Square;51;51;51;ReferenceCM;0.062807;1018;241;1
Square;52;52;52;CMSIS-DSP;0.377221;1696;2275;1
Square;52;52;52;TillJIT;0.594026;1077;2275;1
Square;52;52;52;ReferenceCM;0.066704;957;227;1
Square;53;53;53;CMSIS-DSP;0.353717;1809;2149;1
Square;53;53;53;TillJIT;0.577503;1108;2149;1
Square;53;53;53;ReferenceCM;0.064821;983;214;1
Square;54;54;54;CMSIS-DSP;0.358707;1784;2032;1
Square;54;54;54;TillJIT;0.593631;1078;2032;1
Square;54;54;54;ReferenceCM;0.063994;999;203;1
Square;55;55;55;CMSIS-DSP;0.363981;1758;1923;1
Square;55;55;55;TillJIT;0.600825;1065;1923;1
Square;55;55;55;ReferenceCM;0.063633;1004;192;1
Square;56;56;56;CMSIS-DSP;0.378665;1690;1822;1
Square;56;56;56;TillJIT;0.610634;1048;1822;1
Square;56;56;56;ReferenceCM;0.067360;949;182;1
Square;57;57;57;CMSIS-DSP;0.356355;1795;1727;1
Square;57;57;57;TillJIT;0.573169;1116;1727;1
