Test;Size;Time (µs);GB/s
Scalar Write SRAM0;1116;1023408;1.563404
Write TCM;1116;517474;3.091943
Scalar Write TCM;1116;1019727;1.569047
Read SRAM0;1168;516621;3.097048
Scalar Read SRAM0;1168;1018688;1.570648
Read TCM;1168;516622;3.097042
Scalar Read TCM;1168;1018689;1.570646
Write SRAM0;1168;888709;1.800364
Scalar Write SRAM0;1168;1022584;1.564664
Write TCM;1168;516718;3.096467
Scalar Write TCM;1168;1018887;1.570341
Read SRAM0;1224;515878;3.101508
Scalar Read SRAM0;1224;1017871;1.571908
Read TCM;1224;515877;3.101515
Scalar Read TCM;1224;1017872;1.571907
Write SRAM0;1224;888297;1.801199
Scalar Write SRAM0;1224;1021764;1.565919
Write TCM;1224;515970;3.100955
Scalar Write TCM;1224;1018070;1.571601
Read SRAM0;1280;515196;3.105614
Scalar Read SRAM0;1280;1017114;1.573078
Read TCM;1280;515198;3.105602
Scalar Read TCM;1280;1017113;1.573080
Write SRAM0;1280;887884;1.802037
Scalar Write SRAM0;1280;1020999;1.567093
Write TCM;1280;515293;3.105030
Scalar Write TCM;1280;1017312;1.572772
Read SRAM0;1340;514530;3.109634
Scalar Read SRAM0;1340;1016377;1.574219
Read TCM;1340;514532;3.109622
Scalar Read TCM;1340;1016375;1.574222
Write SRAM0;1340;888648;1.800488
Scalar Write SRAM0;1340;1020283;1.568192
Write TCM;1340;514628;3.109042
Scalar Write TCM;1340;1016578;1.573908
Read SRAM0;1404;513884;3.113543
Scalar Read SRAM0;1404;1015671;1.575313
Read TCM;1404;513886;3.113531
Scalar Read TCM;1404;1015664;1.575324
Write SRAM0;1404;888187;1.801422
Scalar Write SRAM0;1404;1019533;1.569346
Write TCM;1404;513978;3.112974
Scalar Write TCM;1404;1015861;1.575019
Read SRAM0;1472;513262;3.117316
Scalar Read SRAM0;1472;1014974;1.576395
Read TCM;1472;513258;3.117341
Scalar Read TCM;1472;1014977;1.576390
Write SRAM0;1472;886779;1.804283
Scalar Write SRAM0;1472;1018826;1.570435
Write TCM;1472;513358;3.116733
Scalar Write TCM;1472;1015172;1.576088
Read SRAM0;1540;512691;3.120788
Scalar Read SRAM0;1540;1014340;1.577380
Read TCM;1540;512690;3.120794
Scalar Read TCM;1540;1014343;1.577376
Write SRAM0;1540;887394;1.803032
Scalar Write SRAM0;1540;1018183;1.571427
Write TCM;1540;512786;3.120210
Scalar Write TCM;1540;1014541;1.577068
Read SRAM0;1612;512138;3.124158
Scalar Read SRAM0;1612;1013726;1.578336
Read TCM;1612;512138;3.124158
Scalar Read TCM;1612;1013729;1.578331
Write SRAM0;1612;887021;1.803790
Scalar Write SRAM0;1612;1017553;1.572400
Write TCM;1612;512236;3.123560
Scalar Write TCM;1612;1013929;1.578020
Read SRAM0;1688;511606;3.127407
Scalar Read SRAM0;1688;1013143;1.579244
Read TCM;1688;511608;3.127394
Scalar Read TCM;1688;1013142;1.579246
Write SRAM0;1688;885795;1.806287
Scalar Write SRAM0;1688;1016978;1.573289
Write TCM;1688;511704;3.126808
Scalar Write TCM;1688;1013343;1.578932
Read SRAM0;1768;511097;3.130521
Scalar Read SRAM0;1768;1012582;1.580119
Read TCM;1768;511097;3.130521
Scalar Read TCM;1768;1012583;1.580117
Write SRAM0;1768;885505;1.806879
Scalar Write SRAM0;1768;1016415;1.574160
Write TCM;1768;511194;3.129927
Scalar Write TCM;1768;1012781;1.579808
Read SRAM0;1848;510636;3.133348
Scalar Read SRAM0;1848;1012071;1.580917
Read TCM;1848;510634;3.133360
Scalar Read TCM;1848;1012070;1.580918
Write SRAM0;1848;885216;1.807468
Scalar Write SRAM0;1848;1015887;1.574978
Write TCM;1848;510733;3.132752
Scalar Write TCM;1848;1012266;1.580612
Read SRAM0;1936;510164;3.136246
Scalar Read SRAM0;1936;1011552;1.581728
Read TCM;1936;510164;3.136246
Scalar Read TCM;1936;1011549;1.581733
Write SRAM0;1936;884954;1.808004
Scalar Write SRAM0;1936;1015361;1.575794
Write TCM;1936;510263;3.135638
Scalar Write TCM;1936;1011749;1.581420
Read SRAM0;2028;509719;3.138984
Scalar Read SRAM0;2028;1011056;1.582504
Read TCM;2028;509717;3.138997
Scalar Read TCM;2028;1011063;1.582493
Write SRAM0;2028;885486;1.806917
Scalar Write SRAM0;2028;1014880;1.576541
Write TCM;2028;509817;3.138381
Scalar Write TCM;2028;1011266;1.582175
Read SRAM0;2124;509295;3.141598
Scalar Read SRAM0;2124;1010589;1.583235
Read TCM;2124;509294;3.141604
Scalar Read TCM;2124;1010587;1.583238
Write SRAM0;2124;885203;1.807495
Scalar Write SRAM0;2124;1014457;1.577198
Write TCM;2124;509395;3.140981
Scalar Write TCM;2124;1010786;1.582927
Read SRAM0;2224;508894;3.144073
Scalar Read SRAM0;2224;1010149;1.583925
Read TCM;2224;508895;3.144067
Scalar Read TCM;2224;1010147;1.583928
Write SRAM0;2224;884218;1.809509
Scalar Write SRAM0;2224;1013993;1.577920
Write TCM;2224;508995;3.143449
Scalar Write TCM;2224;1010351;1.583608
Read SRAM0;2328;508512;3.146435
Scalar Read SRAM0;2328;1009722;1.584595
Read TCM;2328;508511;3.146441
Scalar Read TCM;2328;1009723;1.584593
Write SRAM0;2328;883994;1.809967
Scalar Write SRAM0;2328;1013556;1.578601
Write TCM;2328;508611;3.145823
Scalar Write TCM;2328;1009920;1.584284
Read SRAM0;2436;508149;3.148683
Scalar Read SRAM0;2436;1009321;1.585224
Read TCM;2436;508148;3.148689
Scalar Read TCM;2436;1009321;1.585224
Write SRAM0;2436;884408;1.809120
Scalar Write SRAM0;2436;1013165;1.579210
Write TCM;2436;508251;3.148051
Scalar Write TCM;2436;1009520;1.584912
Read SRAM0;2552;507797;3.150866
Scalar Read SRAM0;2552;1008928;1.585842
Read TCM;2552;507794;3.150884
Scalar Read TCM;2552;1008924;1.585848
Write SRAM0;2552;883594;1.810786
Scalar Write SRAM0;2552;1012774;1.579819
Write TCM;2552;507890;3.150289
Scalar Write TCM;2552;1009131;1.585523
Read SRAM0;2672;507459;3.152964
Scalar Read SRAM0;2672;1008558;1.586423
Read TCM;2672;507461;3.152952
Scalar Read TCM;2672;1008558;1.586423
Write SRAM0;2672;883382;1.811221
Scalar Write SRAM0;2672;1012418;1.580375
Write TCM;2672;507559;3.152343
Scalar Write TCM;2672;1008759;1.586107
Read SRAM0;2796;507144;3.154922
Scalar Read SRAM0;2796;1008212;1.586968
Read TCM;2796;507148;3.154898
Scalar Read TCM;2796;1008212;1.586968
Write SRAM0;2796;883745;1.810477
Scalar Write SRAM0;2796;1012063;1.580929
Write TCM;2796;507243;3.154307
Scalar Write TCM;2796;1008411;1.586655
Read SRAM0;2928;506841;3.156809
Scalar Read SRAM0;2928;1007876;1.587497
Read TCM;2928;506838;3.156827
Scalar Read TCM;2928;1007876;1.587497
Write SRAM0;2928;883038;1.811926
Scalar Write SRAM0;2928;1011719;1.581467
Write TCM;2928;506937;3.156211
Scalar Write TCM;2928;1008079;1.587177
Read SRAM0;3064;506553;3.158603
Scalar Read SRAM0;3064;1007554;1.588004
Read TCM;3064;506550;3.158622
Scalar Read TCM;3064;1007556;1.588001
Write SRAM0;3064;882871;1.812269
Scalar Write SRAM0;3064;1011407;1.581955
Write TCM;3064;506650;3.157999
Scalar Write TCM;3064;1007754;1.587689
Read SRAM0;3208;506279;3.160313
Scalar Read SRAM0;3208;1007248;1.588487
Read TCM;3208;506271;3.160363
Scalar Read TCM;3208;1007249;1.588485
Write SRAM0;3208;882707;1.812606
Scalar Write SRAM0;3208;1011095;1.582443
Write TCM;3208;506369;3.159751
Scalar Write TCM;3208;1007447;1.588173
