Test;Size;Time (µs);GB/s
Scalar Read TCM;25260;1001512;1.597584
Write SRAM0;25260;879712;1.818777
Scalar Write SRAM0;25260;1005252;1.591641
Write TCM;25260;501192;3.192389
Scalar Write TCM;25260;1001712;1.597265
Read SRAM0;26448;1397114;1.145218
Scalar Read SRAM0;26448;2192120;0.729887
Read TCM;26448;501067;3.193186
Scalar Read TCM;26448;1001493;1.597615
Write SRAM0;26448;879638;1.818930
Scalar Write SRAM0;26448;1005237;1.591664
Write TCM;26448;501167;3.192549
Scalar Write TCM;26448;1001693;1.597296
Read SRAM0;27688;1382971;1.156929
Scalar Read SRAM0;27688;2074424;0.771298
Read TCM;27688;501011;3.193543
Scalar Read TCM;27688;1001413;1.597742
Write SRAM0;27688;879584;1.819042
Scalar Write SRAM0;27688;1005150;1.591802
Write TCM;27688;501112;3.192899
Scalar Write TCM;27688;1001610;1.597428
Read SRAM0;28988;1381302;1.158327
Scalar Read SRAM0;28988;1974789;0.810213
Read TCM;28988;500975;3.193772
Scalar Read TCM;28988;1001365;1.597819
Write SRAM0;28988;879597;1.819015
Scalar Write SRAM0;28988;1005108;1.591869
Write TCM;28988;501076;3.193128
Scalar Write TCM;28988;1001565;1.597500
Read SRAM0;30348;1372789;1.165511
Scalar Read SRAM0;30348;1866772;0.857095
Read TCM;30348;500959;3.193874
Scalar Read TCM;30348;1001358;1.597830
Write SRAM0;30348;879593;1.819023
Scalar Write SRAM0;30348;1005099;1.591883
Write TCM;30348;501059;3.193237
Scalar Write TCM;30348;1001560;1.597508
Read SRAM0;31772;1370221;1.167695
Scalar Read SRAM0;31772;1791367;0.893173
Read TCM;31772;500919;3.194129
Scalar Read TCM;31772;1001305;1.597915
Write SRAM0;31772;879538;1.819137
Scalar Write SRAM0;31772;1005037;1.591981
Write TCM;31772;501019;3.193492
Scalar Write TCM;31772;1001505;1.597596
Read SRAM0;33260;1369829;1.168029
Scalar Read SRAM0;33260;1732383;0.923583
Read TCM;33260;500902;3.194237
Scalar Read TCM;33260;1001293;1.597934
Write SRAM0;33260;879529;1.819155
Scalar Write SRAM0;33260;1005021;1.592007
Write TCM;33260;501002;3.193600
Scalar Write TCM;33260;1001493;1.597615
Read SRAM0;34820;1368120;1.169488
Scalar Read SRAM0;34820;1687052;0.948400
Read TCM;34820;500867;3.194461
Scalar Read TCM;34820;1001246;1.598009
Write SRAM0;34820;879491;1.819234
Scalar Write SRAM0;34820;1004971;1.592086
Write TCM;34820;500967;3.193823
Scalar Write TCM;34820;1001445;1.597691
Read SRAM0;36456;1364116;1.172921
Scalar Read SRAM0;36456;1644651;0.972851
Read TCM;36456;500864;3.194480
Scalar Read TCM;36456;1001264;1.597980
Write SRAM0;36456;879475;1.819267
Scalar Write SRAM0;36456;1004996;1.592046
Write TCM;36456;500965;3.193836
Scalar Write TCM;36456;1001464;1.597661
Read SRAM0;38164;1364663;1.172451
Scalar Read SRAM0;38164;1622163;0.986337
Read TCM;38164;500843;3.194614
Scalar Read TCM;38164;1001244;1.598012
Write SRAM0;38164;879489;1.819238
Scalar Write SRAM0;38164;1004969;1.592089
Write TCM;38164;500944;3.193970
Scalar Write TCM;38164;1001443;1.597695
Read SRAM0;39956;1364278;1.172781
Scalar Read SRAM0;39956;1609267;0.994242
Read TCM;39956;500824;3.194735
Scalar Read TCM;39956;1001225;1.598042
Write SRAM0;39956;879473;1.819271
Scalar Write SRAM0;39956;1004946;1.592125
Write TCM;39956;500925;3.194091
Scalar Write TCM;39956;1001425;1.597723
Read SRAM0;41832;1364113;1.172923
Scalar Read SRAM0;41832;1591065;1.005616
Read TCM;41832;500802;3.194875
Scalar Read TCM;41832;1001196;1.598089
Write SRAM0;41832;879418;1.819385
Scalar Write SRAM0;41832;1004920;1.592167
Write TCM;41832;500900;3.194250
Scalar Write TCM;41832;1001401;1.597762
Read SRAM0;43792;1364005;1.173016
Scalar Read SRAM0;43792;1582123;1.011299
Read TCM;43792;500779;3.195022
Scalar Read TCM;43792;1001171;1.598129
Write SRAM0;43792;879409;1.819404
Scalar Write SRAM0;43792;1004903;1.592193
Write TCM;43792;500879;3.194384
Scalar Write TCM;43792;1001370;1.597811
Read SRAM0;45848;1363815;1.173180
Scalar Read SRAM0;45848;1573277;1.016986
Read TCM;45848;500736;3.195297
Scalar Read TCM;45848;1001102;1.598239
Write SRAM0;45848;879340;1.819546
Scalar Write SRAM0;45848;1004819;1.592327
Write TCM;45848;500837;3.194652
Scalar Write TCM;45848;1001302;1.597919
Read SRAM0;47996;1363560;1.173399
Scalar Read SRAM0;47996;1567334;1.020842
Read TCM;47996;500744;3.195246
Scalar Read TCM;47996;1001133;1.598189
Write SRAM0;47996;879404;1.819414
Scalar Write SRAM0;47996;1004849;1.592279
Write TCM;47996;500844;3.194607
Scalar Write TCM;47996;1001333;1.597870
