Test;Size;Time (µs);GB/s
Write TCM;2464;508158;3.148627
Scalar Write TCM;2464;1009420;1.585069
Read SRAM;2688;507417;3.153225
Scalar Read SRAM;2688;1008512;1.586496
Read TCM;2688;507418;3.153219
Scalar Read TCM;2688;1008512;1.586496
Write SRAM;2688;883360;1.811266
Scalar Write SRAM;2688;1012372;1.580447
Write TCM;2688;507515;3.152616
Scalar Write TCM;2688;1008712;1.586181
Read SRAM;2976;506732;3.157488
Scalar Read SRAM;2976;1007754;1.587689
Read TCM;2976;506733;3.157481
Scalar Read TCM;2976;1007755;1.587687
Write SRAM;2976;882984;1.812037
Scalar Write SRAM;2976;1011603;1.581648
Write TCM;2976;506831;3.156871
Scalar Write TCM;2976;1007953;1.587376
Read SRAM;3264;506172;3.160981
Scalar Read SRAM;3264;1007136;1.588663
Read TCM;3264;506171;3.160987
Scalar Read TCM;3264;1007135;1.588665
Write SRAM;3264;882650;1.812723
Scalar Write SRAM;3264;1010989;1.582609
Write TCM;3264;506270;3.160369
Scalar Write TCM;3264;1007336;1.588348
Read SRAM;3584;505652;3.164232
Scalar Read SRAM;3584;1006560;1.589572
Read TCM;3584;505653;3.164225
Scalar Read TCM;3584;1006568;1.589560
Write SRAM;3584;882351;1.813337
Scalar Write SRAM;3584;1010424;1.583494
Write TCM;3584;505750;3.163618
Scalar Write TCM;3584;1006761;1.589255
Read SRAM;3904;505218;3.166950
Scalar Read SRAM;3904;1006084;1.590325
Read TCM;3904;505218;3.166950
Scalar Read TCM;3904;1006082;1.590328
Write SRAM;3904;882108;1.813837
Scalar Write SRAM;3904;1009940;1.584253
Write TCM;3904;505317;3.166329
Scalar Write TCM;3904;1006281;1.590013
Read SRAM;4288;504778;3.169710
Scalar Read SRAM;4288;1005594;1.591099
Read TCM;4288;504778;3.169710
Scalar Read TCM;4288;1005597;1.591095
Write SRAM;4288;881851;1.814366
Scalar Write SRAM;4288;1009450;1.585022
Write TCM;4288;504878;3.169082
Scalar Write TCM;4288;1005793;1.590785
Read SRAM;4704;504389;3.172155
Scalar Read SRAM;4704;1005168;1.591774
Read TCM;4704;504390;3.172148
Scalar Read TCM;4704;1005166;1.591777
Write SRAM;4704;881623;1.814835
Scalar Write SRAM;4704;1009001;1.585727
Write TCM;4704;504487;3.171539
Scalar Write TCM;4704;1005365;1.591462
Read SRAM;5184;504013;3.174521
Scalar Read SRAM;5184;1004746;1.592442
Read TCM;5184;504012;3.174528
Scalar Read TCM;5184;1004746;1.592442
Write SRAM;5184;881400;1.815294
Scalar Write SRAM;5184;1008566;1.586411
Write TCM;5184;504111;3.173904
Scalar Write TCM;5184;1004946;1.592125
Read SRAM;5696;517401;3.092379
Scalar Read SRAM;5696;1017827;1.571976
Read TCM;5696;503681;3.176614
Scalar Read TCM;5696;1004378;1.593026
Write SRAM;5696;881194;1.815718
Scalar Write SRAM;5696;1008204;1.586980
Write TCM;5696;503781;3.175983
Scalar Write TCM;5696;1004578;1.592709
Read SRAM;6240;540966;2.957672
Scalar Read SRAM;6240;1040200;1.538166
Read TCM;6240;503390;3.178450
Scalar Read TCM;6240;1004057;1.593535
Write SRAM;6240;881016;1.816085
Scalar Write SRAM;6240;1007873;1.587502
Write TCM;6240;503490;3.177819
Scalar Write TCM;6240;1004258;1.593216
Read SRAM;6848;553755;2.889364
Scalar Read SRAM;6848;1053948;1.518101
Read TCM;6848;503123;3.180137
Scalar Read TCM;6848;1003764;1.594000
Write SRAM;6848;880858;1.816411
Scalar Write SRAM;6848;1007561;1.587993
Write TCM;6848;503222;3.179511
Scalar Write TCM;6848;1003963;1.593684
Read SRAM;7520;599198;2.670236
Scalar Read SRAM;7520;1099041;1.455815
Read TCM;7520;502872;3.181724
Scalar Read TCM;7520;1003484;1.594445
Write SRAM;7520;880708;1.816720
Scalar Write SRAM;7520;1007260;1.588468
Write TCM;7520;502971;3.181098
Scalar Write TCM;7520;1003685;1.594126
Read SRAM;8224;865711;1.848192
Scalar Read SRAM;8224;1386075;1.154339
Read TCM;8224;502659;3.183072
Scalar Read TCM;8224;1003251;1.594815
Write SRAM;8224;880581;1.816982
Scalar Write SRAM;8224;1007019;1.588848
Write TCM;8224;502758;3.182446
Scalar Write TCM;8224;1003452;1.594496
Read SRAM;9024;1545986;1.034938
Scalar Read SRAM;9024;2099795;0.761979
Read TCM;9024;502452;3.184384
Scalar Read TCM;9024;1003022;1.595179
Write SRAM;9024;880431;1.817292
Scalar Write SRAM;9024;1006804;1.589187
Write TCM;9024;502552;3.183750
Scalar Write TCM;9024;1003222;1.594861
Read SRAM;9920;2110850;0.757988
Scalar Read SRAM;9920;2688090;0.595218
Read TCM;9920;502258;3.185614
Scalar Read TCM;9920;1002803;1.595528
Write SRAM;9920;880623;1.816896
Scalar Write SRAM;9920;1006572;1.589553
Write TCM;9920;502359;3.184973
Scalar Write TCM;9920;1003003;1.595210
Read SRAM;10880;2468262;0.648229
Scalar Read SRAM;10880;3057904;0.523234
Read TCM;10880;502086;3.186705
Scalar Read TCM;10880;1002612;1.595832
Write SRAM;10880;880485;1.817180
Scalar Write SRAM;10880;1006376;1.589863
Write TCM;10880;502187;3.186064
Scalar Write TCM;10880;1002811;1.595515
Read SRAM;11936;2729235;0.586245
Scalar Read SRAM;11936;3331198;0.480308
Read TCM;11936;501941;3.187626
Scalar Read TCM;11936;1002458;1.596077
Write SRAM;11936;880369;1.817420
Scalar Write SRAM;11936;1006225;1.590102
Write TCM;11936;502040;3.186997
Scalar Write TCM;11936;1002657;1.595760
Read SRAM;13088;2875919;0.556344
Scalar Read SRAM;13088;3469991;0.461096
Read TCM;13088;501796;3.188547
Scalar Read TCM;13088;1002294;1.596338
Write SRAM;13088;880242;1.817682
Scalar Write SRAM;13088;1006057;1.590367
Write TCM;13088;501895;3.187918
Scalar Write TCM;13088;1002494;1.596020
Read SRAM;14368;2952346;0.541942
Scalar Read SRAM;14368;3528617;0.453435
Read TCM;14368;501661;3.189405
Scalar Read TCM;14368;1002140;1.596583
Write SRAM;14368;880136;1.817901
Scalar Write SRAM;14368;1005901;1.590614
Write TCM;14368;501763;3.188756
Scalar Write TCM;14368;1002339;1.596266
Read SRAM;15776;2925982;0.546825
Scalar Read SRAM;15776;3473943;0.460572
Read TCM;15776;501535;3.190206
Scalar Read TCM;15776;1001994;1.596816
Write SRAM;15776;880014;1.818153
Scalar Write SRAM;15776;1005749;1.590854
Write TCM;15776;501635;3.189570
Scalar Write TCM;15776;1002193;1.596499
Read SRAM;17312;2817353;0.567909
Scalar Read SRAM;17312;3328861;0.480645
Read TCM;17312;501440;3.190810
Scalar Read TCM;17312;1001898;1.596969
Write SRAM;17312;879943;1.818300
Scalar Write SRAM;17312;1005651;1.591009
Write TCM;17312;501539;3.190181
Scalar Write TCM;17312;1002098;1.596650
Read SRAM;18976;2629296;0.608528
Scalar Read SRAM;18976;3124307;0.512114
Read TCM;18976;501345;3.191415
Scalar Read TCM;18976;1001794;1.597135
Write SRAM;18976;879701;1.818800
Scalar Write SRAM;18976;1005544;1.591179
Write TCM;18976;501445;3.190779
Scalar Write TCM;18976;1001994;1.596816
Read SRAM;20832;2265052;0.706386
Scalar Read SRAM;20832;2869805;0.557529
Read TCM;20832;501256;3.191982
Scalar Read TCM;20832;1001696;1.597291
Write SRAM;20832;879792;1.818612
Scalar Write SRAM;20832;1005447;1.591332
Write TCM;20832;501356;3.191345
Scalar Write TCM;20832;1001896;1.596972
Read SRAM;22848;1560034;1.025619
Scalar Read SRAM;22848;2596992;0.616097
Read TCM;22848;501181;3.192459
Scalar Read TCM;22848;1001619;1.597414
Write SRAM;22848;879737;1.818725
Scalar Write SRAM;22848;1005362;1.591467
Write TCM;22848;501281;3.191823
Scalar Write TCM;22848;1001819;1.597095
Read SRAM;25088;1417812;1.128499
Scalar Read SRAM;25088;2326647;0.687685
Read TCM;25088;501079;3.193109
Scalar Read TCM;25088;1001482;1.597632
Write SRAM;25088;879621;1.818965
Scalar Write SRAM;25088;1005222;1.591688
Write TCM;25088;501179;3.192472
Scalar Write TCM;25088;1001682;1.597313
Read SRAM;27520;1387037;1.153538
Scalar Read SRAM;27520;2082713;0.768229
Read TCM;27520;501010;3.193549
Scalar Read TCM;27520;1001402;1.597760
Write SRAM;27520;879573;1.819064
Scalar Write SRAM;27520;1005138;1.591821
Write TCM;27520;501111;3.192905
Scalar Write TCM;27520;1001603;1.597439
Read SRAM;30176;1375034;1.163608
Scalar Read SRAM;30176;1877102;0.852378
Read TCM;30176;500958;3.193880
