Test;Size;Time (µs);GB/s
Read Throughput;16372;501460;3.190683
Scalar Read Throughput;16372;1001893;1.596977
Write Throughput SRAM 0;16372;880025;1.818130
Scalar Write Throughput SRAM 0;16372;3403487;0.470106
Write Throughput;16372;501560;3.190047
Scalar Write Throughput;16372;1001894;1.596975
Read Throughput SRAM 0;17180;2760759;0.579551
Scalar Read Throughput SRAM 0;17180;3305865;0.483988
Read Throughput;17180;501406;3.191027
Scalar Read Throughput;17180;1001832;1.597074
Write Throughput SRAM 0;17180;879802;1.818591
Scalar Write Throughput SRAM 0;17180;3305840;0.483992
Write Throughput;17180;501504;3.190403
Scalar Write Throughput;17180;1001833;1.597072
Read Throughput SRAM 0;18024;2696895;0.593275
Scalar Read Throughput SRAM 0;18024;3216250;0.497474
Read Throughput;18024;501357;3.191339
Scalar Read Throughput;18024;1001783;1.597152
Write Throughput SRAM 0;18024;879846;1.818500
Scalar Write Throughput SRAM 0;18024;3217052;0.497350
Write Throughput;18024;501456;3.190709
Scalar Write Throughput;18024;1001783;1.597152
Read Throughput SRAM 0;18912;2569052;0.622798
Scalar Read Throughput SRAM 0;18912;3097013;0.516627
Read Throughput;18912;501307;3.191657
Scalar Read Throughput;18912;1001726;1.597243
Write Throughput SRAM 0;18912;879802;1.818591
Scalar Write Throughput SRAM 0;18912;3097638;0.516523
Write Throughput;18912;501407;3.191020
Scalar Write Throughput;18912;1001727;1.597242
Read Throughput SRAM 0;19844;2439146;0.655967
Scalar Read Throughput SRAM 0;19844;2966012;0.539445
Read Throughput;19844;501267;3.191912
Scalar Read Throughput;19844;1001688;1.597304
Write Throughput SRAM 0;19844;879855;1.818481
Scalar Write Throughput SRAM 0;19844;2967554;0.539165
Write Throughput;19844;501367;3.191275
Scalar Write Throughput;19844;1001688;1.597304
Read Throughput SRAM 0;20824;2200427;0.727132
Scalar Read Throughput SRAM 0;20824;2830106;0.565350
Read Throughput;20824;501210;3.192275
Scalar Read Throughput;20824;1001616;1.597419
Write Throughput SRAM 0;20824;879717;1.818767
Scalar Write Throughput SRAM 0;20824;2829633;0.565444
Write Throughput;20824;501310;3.191638
Scalar Write Throughput;20824;1001618;1.597415
Read Throughput SRAM 0;21848;1656753;0.965744
Scalar Read Throughput SRAM 0;21848;2682604;0.596435
Read Throughput;21848;501174;3.192504
Scalar Read Throughput;21848;1001581;1.597474
Write Throughput SRAM 0;21848;879692;1.818818
Scalar Write Throughput SRAM 0;21848;2682613;0.596433
Write Throughput;21848;501273;3.191874
Scalar Write Throughput;21848;1001581;1.597474
Read Throughput SRAM 0;22928;1409810;1.134905
Scalar Read Throughput SRAM 0;22928;2531322;0.632081
Read Throughput;22928;501113;3.192893
Scalar Read Throughput;22928;1001497;1.597608
Write Throughput SRAM 0;22928;879624;1.818959
Scalar Write Throughput SRAM 0;22928;2531623;0.632006
Write Throughput;22928;501213;3.192256
Scalar Write Throughput;22928;1001497;1.597608
Read Throughput SRAM 0;24056;1380352;1.159125
Scalar Read Throughput SRAM 0;24056;2383516;0.671277
Read Throughput;24056;501074;3.193141
Scalar Read Throughput;24056;1001452;1.597680
Write Throughput SRAM 0;24056;879591;1.819027
Scalar Write Throughput SRAM 0;24056;2379473;0.672418
Write Throughput;24056;501173;3.192510
Scalar Write Throughput;24056;1001452;1.597680
Read Throughput SRAM 0;25240;1373151;1.165203
Scalar Read Throughput SRAM 0;25240;2221483;0.720240
Read Throughput;25240;501034;3.193396
Scalar Read Throughput;25240;1001406;1.597754
Write Throughput SRAM 0;25240;879557;1.819098
Scalar Write Throughput SRAM 0;25240;2220496;0.720560
Write Throughput;25240;501134;3.192759
Scalar Write Throughput;25240;1001405;1.597755
Read Throughput SRAM 0;26484;1367088;1.170371
Scalar Read Throughput SRAM 0;26484;2087801;0.766357
Read Throughput;26484;501009;3.193555
Scalar Read Throughput;26484;1001388;1.597782
Write Throughput SRAM 0;26484;879604;1.819000
Scalar Write Throughput SRAM 0;26484;2088511;0.766096
Write Throughput;26484;501109;3.192918
Scalar Write Throughput;26484;1001388;1.597782
Read Throughput SRAM 0;27792;1366626;1.170766
Scalar Read Throughput SRAM 0;27792;1955788;0.818085
Read Throughput;27792;500966;3.193830
Scalar Read Throughput;27792;1001333;1.597870
Write Throughput SRAM 0;27792;879502;1.819211
Scalar Write Throughput SRAM 0;27792;1955278;0.818298
Write Throughput;27792;501066;3.193192
Scalar Write Throughput;27792;1001333;1.597870
Read Throughput SRAM 0;29160;1367049;1.170404
Scalar Read Throughput SRAM 0;29160;1871633;0.854868
Read Throughput;29160;500939;3.194002
Scalar Read Throughput;29160;1001307;1.597911
Write Throughput SRAM 0;29160;879484;1.819248
Scalar Write Throughput SRAM 0;29160;1871333;0.855006
Write Throughput;29160;501039;3.193364
Scalar Write Throughput;29160;1001307;1.597911
Read Throughput SRAM 0;30596;1361809;1.174908
Scalar Read Throughput SRAM 0;30596;1803358;0.887234
Read Throughput;30596;500899;3.194257
Scalar Read Throughput;30596;1001254;1.597996
Write Throughput SRAM 0;30596;879496;1.819224
Scalar Write Throughput SRAM 0;30596;1803576;0.887126
Write Throughput;30596;500998;3.193625
Scalar Write Throughput;30596;1001255;1.597995
Read Throughput SRAM 0;32104;1362957;1.173918
Scalar Read Throughput SRAM 0;32104;1754119;0.912139
Read Throughput;32104;500871;3.194435
Scalar Read Throughput;32104;1001224;1.598044
Write Throughput SRAM 0;32104;879421;1.819379
Scalar Write Throughput SRAM 0;32104;1758270;0.909985
Write Throughput;32104;500971;3.193798
Scalar Write Throughput;32104;1001225;1.598042
Read Throughput SRAM 0;33688;1363735;1.173248
Scalar Read Throughput SRAM 0;33688;1724702;0.927697
Read Throughput;33688;500833;3.194678
Scalar Read Throughput;33688;1001173;1.598125
Write Throughput SRAM 0;33688;879371;1.819482
Scalar Write Throughput SRAM 0;33688;1727437;0.926228
Write Throughput;33688;500933;3.194040
Scalar Write Throughput;33688;1001174;1.598124
Read Throughput SRAM 0;35348;1364606;1.172500
Scalar Read Throughput SRAM 0;35348;1694704;0.944118
Read Throughput;35348;500830;3.194697
Scalar Read Throughput;35348;1001192;1.598095
Write Throughput SRAM 0;35348;879447;1.819325
Scalar Write Throughput SRAM 0;35348;1694480;0.944242
Write Throughput;35348;500930;3.194059
Scalar Write Throughput;35348;1001190;1.598098
Read Throughput SRAM 0;37088;1364916;1.172233
Scalar Read Throughput SRAM 0;37088;1671438;0.957260
Read Throughput;37088;500798;3.194901
Scalar Read Throughput;37088;1001147;1.598167
Write Throughput SRAM 0;37088;879357;1.819511
Scalar Write Throughput SRAM 0;37088;1672267;0.956785
Write Throughput;37088;500897;3.194269
Scalar Write Throughput;37088;1001148;1.598165
Read Throughput SRAM 0;38916;1363800;1.173193
Scalar Read Throughput SRAM 0;38916;1651399;0.968875
Read Throughput;38916;500753;3.195188
Scalar Read Throughput;38916;1001079;1.598276
Write Throughput SRAM 0;38916;879340;1.819546
Scalar Write Throughput SRAM 0;38916;1652530;0.968212
Write Throughput;38916;500851;3.194563
Scalar Write Throughput;38916;1001079;1.598276
Read Throughput SRAM 0;40832;1360356;1.176163
Scalar Read Throughput SRAM 0;40832;1629060;0.982162
Read Throughput;40832;500741;3.195265
Scalar Read Throughput;40832;1001078;1.598277
Write Throughput SRAM 0;40832;879314;1.819600
Scalar Write Throughput SRAM 0;40832;1631561;0.980656
Write Throughput;40832;500841;3.194627
Scalar Write Throughput;40832;1001078;1.598277
Read Throughput SRAM 0;42844;1360436;1.176094
Scalar Read Throughput SRAM 0;42844;1616912;0.989541
Read Throughput;42844;500719;3.195405
Scalar Read Throughput;42844;1001052;1.598319
Write Throughput SRAM 0;42844;879336;1.819555
Scalar Write Throughput SRAM 0;42844;1616898;0.989549
Write Throughput;42844;500819;3.194767
Scalar Write Throughput;42844;1001053;1.598317
Read Throughput SRAM 0;44956;1360457;1.176075
Scalar Read Throughput SRAM 0;44956;1605797;0.996390
Read Throughput;44956;500673;3.195699
Scalar Read Throughput;44956;1000979;1.598435
Write Throughput SRAM 0;44956;879270;1.819691
Scalar Write Throughput SRAM 0;44956;1605021;0.996872
Write Throughput;44956;500773;3.195060
Scalar Write Throughput;44956;1000979;1.598435
Read Throughput SRAM 0;47172;1364091;1.172942
Scalar Read Throughput SRAM 0;47172;1598461;1.000963
Read Throughput;47172;500646;3.195871
Scalar Read Throughput;47172;1000948;1.598485
Write Throughput SRAM 0;47172;879237;1.819760
Scalar Write Throughput SRAM 0;47172;1599913;1.000054
Write Throughput;47172;500748;3.195220
Scalar Write Throughput;47172;1000946;1.598488
Read Throughput SRAM 0;49496;1363297;1.173625
Scalar Read Throughput SRAM 0;49496;1590677;1.005861
Read Throughput;49496;500633;3.195954
Scalar Read Throughput;49496;1000934;1.598507
Write Throughput SRAM 0;49496;879196;1.819844
Scalar Write Throughput SRAM 0;49496;1592141;1.004936
Write Throughput;49496;500733;3.195316
Scalar Write Throughput;49496;1000934;1.598507
Read Throughput SRAM 0;51936;1362358;1.174434
Scalar Read Throughput SRAM 0;51936;1582291;1.011192
Read Throughput;51936;500589;3.196235
Scalar Read Throughput;51936;1000864;1.598619
Write Throughput SRAM 0;51936;879142;1.819956
Scalar Write Throughput SRAM 0;51936;1582446;1.011093
Write Throughput;51936;500689;3.195596
Scalar Write Throughput;51936;1000863;1.598620
Read Throughput SRAM 0;54496;1361440;1.175226
Scalar Read Throughput SRAM 0;54496;1576499;1.014907
Read Throughput;54496;500552;3.196471
Scalar Read Throughput;54496;1000804;1.598715
Write Throughput SRAM 0;54496;879021;1.820207
Scalar Write Throughput SRAM 0;54496;1576634;1.014820
Write Throughput;54496;500651;3.195839
Scalar Write Throughput;54496;1000804;1.598715
Read Throughput SRAM 0;57180;1360497;1.176041
Scalar Read Throughput SRAM 0;57180;1568909;1.019817
Read Throughput;57180;500567;3.196375
Scalar Read Throughput;57180;1000849;1.598643
Write Throughput SRAM 0;57180;879156;1.819927
Scalar Write Throughput SRAM 0;57180;1568993;1.019762
Write Throughput;57180;500667;3.195737
Scalar Write Throughput;57180;1000849;1.598643
Read Throughput SRAM 0;60000;1362453;1.174352
Scalar Read Throughput SRAM 0;60000;1564860;1.022456
Read Throughput;60000;500530;3.196612
Scalar Read Throughput;60000;1000791;1.598735
Write Throughput SRAM 0;60000;879074;1.820097
Scalar Write Throughput SRAM 0;60000;1566473;1.021403
Write Throughput;60000;500630;3.195973
Scalar Write Throughput;60000;1000789;1.598739
