Test;Size;Time (µs);GB/s
Write Throughput SRAM 0;15256;882261;0.725409
Scalar Write Throughput SRAM 0;15256;2256781;0.283590
Write Throughput;15256;501964;1.274992
Scalar Write Throughput;15256;1002646;0.638311
Read Throughput SRAM 0;15972;1692461;0.378148
Scalar Read Throughput SRAM 0;15972;2246571;0.284879
Read Throughput;15972;501663;1.275757
Scalar Read Throughput;15972;1002592;0.638345
Write Throughput SRAM 0;15972;882297;0.725379
Scalar Write Throughput SRAM 0;15972;2246475;0.284891
Write Throughput;15972;501912;1.275124
Scalar Write Throughput;15972;1002590;0.638347
Read Throughput SRAM 0;16720;1682225;0.380449
Scalar Read Throughput SRAM 0;16720;2218984;0.288420
Read Throughput;16720;501614;1.275881
Scalar Read Throughput;16720;1002541;0.638378
Write Throughput SRAM 0;16720;882160;0.725492
Scalar Write Throughput SRAM 0;16720;2219442;0.288361
Write Throughput;16720;501871;1.275228
Scalar Write Throughput;16720;1002551;0.638372
Read Throughput SRAM 0;17504;1667711;0.383760
Scalar Read Throughput SRAM 0;17504;2186816;0.292663
Read Throughput;17504;501539;1.276072
Scalar Read Throughput;17504;1002436;0.638445
Write Throughput SRAM 0;17504;881904;0.725703
Scalar Write Throughput SRAM 0;17504;2187182;0.292614
Write Throughput;17504;501789;1.275437
Scalar Write Throughput;17504;1002436;0.638445
Read Throughput SRAM 0;18328;1648764;0.388170
Scalar Read Throughput SRAM 0;18328;2151532;0.297462
Read Throughput;18328;501482;1.276217
Scalar Read Throughput;18328;1002368;0.638488
Write Throughput SRAM 0;18328;882030;0.725599
Scalar Write Throughput SRAM 0;18328;2150893;0.297551
Write Throughput;18328;501731;1.275584
Scalar Write Throughput;18328;1002367;0.638489
Read Throughput SRAM 0;19188;1613165;0.396736
Scalar Read Throughput SRAM 0;19188;2092419;0.305866
Read Throughput;19188;501447;1.276306
Scalar Read Throughput;19188;1002338;0.638507
Write Throughput SRAM 0;19188;881914;0.725694
Scalar Write Throughput SRAM 0;19188;2093912;0.305648
Write Throughput;19188;501695;1.275675
Scalar Write Throughput;19188;1002336;0.638508
Read Throughput SRAM 0;20088;1579775;0.405121
Scalar Read Throughput SRAM 0;20088;2047246;0.312615
Read Throughput;20088;501372;1.276497
Scalar Read Throughput;20088;1002228;0.638577
Write Throughput SRAM 0;20088;881910;0.725698
Scalar Write Throughput SRAM 0;20088;2045558;0.312873
Write Throughput;20088;501626;1.275851
Scalar Write Throughput;20088;1002226;0.638579
Read Throughput SRAM 0;21028;1511211;0.423501
Scalar Read Throughput SRAM 0;21028;1977677;0.323612
Read Throughput;21028;501327;1.276612
Scalar Read Throughput;21028;1002176;0.638610
Write Throughput SRAM 0;21028;881922;0.725688
Scalar Write Throughput SRAM 0;21028;1976956;0.323730
Write Throughput;21028;501577;1.275976
Scalar Write Throughput;21028;1002176;0.638610
Read Throughput SRAM 0;22016;1416188;0.451917
Scalar Read Throughput SRAM 0;22016;1924550;0.332545
Read Throughput;22016;501311;1.276653
Scalar Read Throughput;22016;1002189;0.638602
Write Throughput SRAM 0;22016;881865;0.725735
Scalar Write Throughput SRAM 0;22016;1923816;0.332672
Write Throughput;22016;501563;1.276011
Scalar Write Throughput;22016;1002184;0.638605
Read Throughput SRAM 0;23048;1354481;0.472506
Scalar Read Throughput SRAM 0;23048;1861734;0.343766
Read Throughput;23048;501299;1.276683
Scalar Read Throughput;23048;1002192;0.638600
Write Throughput SRAM 0;23048;881755;0.725825
Scalar Write Throughput SRAM 0;23048;1863401;0.343458
Write Throughput;23048;501550;1.276044
Scalar Write Throughput;23048;1002189;0.638602
Read Throughput SRAM 0;24128;1306482;0.489865
Scalar Read Throughput SRAM 0;24128;1804684;0.354633
Read Throughput;24128;501238;1.276839
Scalar Read Throughput;24128;1002104;0.638656
Write Throughput SRAM 0;24128;881803;0.725786
Scalar Write Throughput SRAM 0;24128;1802268;0.355108
Write Throughput;24128;501488;1.276202
Scalar Write Throughput;24128;1002104;0.638656
Read Throughput SRAM 0;25260;1299138;0.492634
Scalar Read Throughput SRAM 0;25260;1754567;0.364762
Read Throughput;25260;501212;1.276905
Scalar Read Throughput;25260;1002083;0.638670
Write Throughput SRAM 0;25260;881835;0.725759
Scalar Write Throughput SRAM 0;25260;1755486;0.364571
Write Throughput;25260;501463;1.276266
Scalar Write Throughput;25260;1002082;0.638670
Read Throughput SRAM 0;26448;1291561;0.495524
Scalar Read Throughput SRAM 0;26448;1703355;0.375729
Read Throughput;26448;501135;1.277101
Scalar Read Throughput;26448;1001956;0.638751
Write Throughput SRAM 0;26448;881677;0.725889
Scalar Write Throughput SRAM 0;26448;1703609;0.375673
Write Throughput;26448;501383;1.276469
Scalar Write Throughput;26448;1001957;0.638750
Read Throughput SRAM 0;27688;1292793;0.495052
Scalar Read Throughput SRAM 0;27688;1667212;0.383874
Read Throughput;27688;501094;1.277205
Scalar Read Throughput;27688;1001896;0.638789
Write Throughput SRAM 0;27688;881639;0.725921
Scalar Write Throughput SRAM 0;27688;1667744;0.383752
Write Throughput;27688;501336;1.276589
Scalar Write Throughput;27688;1001895;0.638790
Read Throughput SRAM 0;28988;1293017;0.494966
Scalar Read Throughput SRAM 0;28988;1635029;0.391430
Read Throughput;28988;501067;1.277274
Scalar Read Throughput;28988;1001876;0.638802
Write Throughput SRAM 0;28988;881659;0.725904
Scalar Write Throughput SRAM 0;28988;1635405;0.391340
Write Throughput;28988;501317;1.276637
Scalar Write Throughput;28988;1001873;0.638803
Read Throughput SRAM 0;30348;1291998;0.495357
Scalar Read Throughput SRAM 0;30348;1598951;0.400262
Read Throughput;30348;501064;1.277282
Scalar Read Throughput;30348;1001898;0.638788
Write Throughput SRAM 0;30348;881685;0.725883
Scalar Write Throughput SRAM 0;30348;1597057;0.400737
Write Throughput;30348;501314;1.276645
Scalar Write Throughput;30348;1001896;0.638789
Read Throughput SRAM 0;31772;1292731;0.495076
Scalar Read Throughput SRAM 0;31772;1581240;0.404746
Read Throughput;31772;500960;1.277547
Scalar Read Throughput;31772;1001715;0.638904
Write Throughput SRAM 0;31772;881511;0.726026
Scalar Write Throughput SRAM 0;31772;1579649;0.405153
Write Throughput;31772;501210;1.276910
Scalar Write Throughput;31772;1001712;0.638906
Read Throughput SRAM 0;33260;1293325;0.494849
Scalar Read Throughput SRAM 0;33260;1560000;0.410256
Read Throughput;33260;500955;1.277560
Scalar Read Throughput;33260;1001729;0.638895
Write Throughput SRAM 0;33260;881535;0.726006
Scalar Write Throughput SRAM 0;33260;1559725;0.410329
Write Throughput;33260;501205;1.276923
Scalar Write Throughput;33260;1001730;0.638895
Read Throughput SRAM 0;34820;1293811;0.494663
Scalar Read Throughput SRAM 0;34820;1547064;0.413687
Read Throughput;34820;500980;1.277496
Scalar Read Throughput;34820;1001802;0.638849
Write Throughput SRAM 0;34820;881606;0.725948
Scalar Write Throughput SRAM 0;34820;1547637;0.413534
Write Throughput;34820;501230;1.276859
Scalar Write Throughput;34820;1001803;0.638848
Read Throughput SRAM 0;36456;1292738;0.495073
Scalar Read Throughput SRAM 0;36456;1534037;0.417200
Read Throughput;36456;500858;1.277807
Scalar Read Throughput;36456;1001581;0.638990
Write Throughput SRAM 0;36456;881373;0.726140
Scalar Write Throughput SRAM 0;36456;1534714;0.417016
Write Throughput;36456;501115;1.277152
Scalar Write Throughput;36456;1001581;0.638990
Read Throughput SRAM 0;38164;1293442;0.494804
Scalar Read Throughput SRAM 0;38164;1526504;0.419259
Read Throughput;38164;500875;1.277764
Scalar Read Throughput;38164;1001638;0.638953
Write Throughput SRAM 0;38164;881466;0.726063
Scalar Write Throughput SRAM 0;38164;1526187;0.419346
Write Throughput;38164;501126;1.277124
Scalar Write Throughput;38164;1001636;0.638955
Read Throughput SRAM 0;39956;1293958;0.494606
Scalar Read Throughput SRAM 0;39956;1516665;0.421979
Read Throughput;39956;500849;1.277830
Scalar Read Throughput;39956;1001601;0.638977
Write Throughput SRAM 0;39956;881420;0.726101
Scalar Write Throughput SRAM 0;39956;1517355;0.421787
Write Throughput;39956;501098;1.277195
Scalar Write Throughput;39956;1001600;0.638978
Read Throughput SRAM 0;41832;1293625;0.494734
Scalar Read Throughput SRAM 0;41832;1513036;0.422991
Read Throughput;41832;500766;1.278042
Scalar Read Throughput;41832;1001452;0.639072
Write Throughput SRAM 0;41832;881247;0.726244
Scalar Write Throughput SRAM 0;41832;1512928;0.423021
Write Throughput;41832;501015;1.277407
Scalar Write Throughput;41832;1001452;0.639072
Read Throughput SRAM 0;43792;1293968;0.494603
Scalar Read Throughput SRAM 0;43792;1507920;0.424426
Read Throughput;43792;500759;1.278060
Scalar Read Throughput;43792;1001457;0.639069
Write Throughput SRAM 0;43792;881273;0.726222
Scalar Write Throughput SRAM 0;43792;1508141;0.424363
Write Throughput;43792;501007;1.277427
Scalar Write Throughput;43792;1001460;0.639067
Read Throughput SRAM 0;45848;1294001;0.494590
Scalar Read Throughput SRAM 0;45848;1503041;0.425803
Read Throughput;45848;500706;1.278195
Scalar Read Throughput;45848;1001370;0.639124
Write Throughput SRAM 0;45848;881176;0.726302
Scalar Write Throughput SRAM 0;45848;1501453;0.426254
Write Throughput;45848;500957;1.277555
Scalar Write Throughput;45848;1001370;0.639124
Read Throughput SRAM 0;47996;1294223;0.494505
Scalar Read Throughput SRAM 0;47996;1499627;0.426773
Read Throughput;47996;500703;1.278203
Scalar Read Throughput;47996;1001381;0.639117
Write Throughput SRAM 0;47996;881230;0.726258
Scalar Write Throughput SRAM 0;47996;1499740;0.426741
Write Throughput;47996;500954;1.277562
Scalar Write Throughput;47996;1001382;0.639117
