Test;Size;Time (µs);GB/s
Scalar Read Throughput;1020;1022026;0.626207
Write Throughput SRAM 0;1020;893941;0.715931
Scalar Write Throughput SRAM 0;1020;1022027;0.626207
Write Throughput;1020;519406;1.232177
Scalar Write Throughput;1020;1022025;0.626208
Read Throughput SRAM 0;1068;518343;1.234704
Scalar Read Throughput SRAM 0;1068;1021098;0.626776
Read Throughput;1068;518343;1.234704
Scalar Read Throughput;1068;1021099;0.626776
Write Throughput SRAM 0;1068;893391;0.716372
Scalar Write Throughput SRAM 0;1068;1021097;0.626777
Write Throughput;1068;518579;1.234142
Scalar Write Throughput;1068;1021100;0.626775
Read Throughput SRAM 0;1116;517580;1.236524
Scalar Read Throughput SRAM 0;1116;1020250;0.627297
Read Throughput;1116;517576;1.236533
Scalar Read Throughput;1116;1020250;0.627297
Write Throughput SRAM 0;1116;892877;0.716784
Scalar Write Throughput SRAM 0;1116;1020250;0.627297
Write Throughput;1116;517812;1.235970
Scalar Write Throughput;1116;1020250;0.627297
Read Throughput SRAM 0;1168;516817;1.238349
Scalar Read Throughput SRAM 0;1168;1019411;0.627814
Read Throughput;1168;516819;1.238345
Scalar Read Throughput;1168;1019417;0.627810
Write Throughput SRAM 0;1168;891147;0.718176
Scalar Write Throughput SRAM 0;1168;1019415;0.627811
Write Throughput;1168;517056;1.237777
Scalar Write Throughput;1168;1019416;0.627810
Read Throughput SRAM 0;1224;516074;1.240132
Scalar Read Throughput SRAM 0;1224;1018582;0.628324
Read Throughput;1224;516075;1.240130
Scalar Read Throughput;1224;1018583;0.628324
Write Throughput SRAM 0;1224;890688;0.718546
Scalar Write Throughput SRAM 0;1224;1018584;0.628323
Write Throughput;1224;516332;1.239513
Scalar Write Throughput;1224;1018586;0.628322
Read Throughput SRAM 0;1280;515393;1.241771
Scalar Read Throughput SRAM 0;1280;1017834;0.628786
Read Throughput;1280;515392;1.241773
Scalar Read Throughput;1280;1017834;0.628786
Write Throughput SRAM 0;1280;890299;0.718860
Scalar Write Throughput SRAM 0;1280;1017833;0.628787
Write Throughput;1280;515628;1.241205
Scalar Write Throughput;1280;1017835;0.628786
Read Throughput SRAM 0;1340;514728;1.243375
Scalar Read Throughput SRAM 0;1340;1017099;0.629241
Read Throughput;1340;514725;1.243382
Scalar Read Throughput;1340;1017093;0.629244
Write Throughput SRAM 0;1340;891006;0.718289
Scalar Write Throughput SRAM 0;1340;1017092;0.629245
Write Throughput;1340;514964;1.242805
Scalar Write Throughput;1340;1017096;0.629242
Read Throughput SRAM 0;1404;514086;1.244928
Scalar Read Throughput SRAM 0;1404;1016389;0.629680
Read Throughput;1404;514081;1.244940
Scalar Read Throughput;1404;1016386;0.629682
Write Throughput SRAM 0;1404;890587;0.718627
Scalar Write Throughput SRAM 0;1404;1016386;0.629682
Write Throughput;1404;514327;1.244344
Scalar Write Throughput;1404;1016390;0.629680
Read Throughput SRAM 0;1472;513455;1.246458
Scalar Read Throughput SRAM 0;1472;1015691;0.630113
Read Throughput;1472;513455;1.246458
Scalar Read Throughput;1472;1015692;0.630112
Write Throughput SRAM 0;1472;889186;0.719759
Scalar Write Throughput SRAM 0;1472;1015692;0.630112
Write Throughput;1472;513692;1.245883
Scalar Write Throughput;1472;1015693;0.630112
Read Throughput SRAM 0;1540;512890;1.247831
Scalar Read Throughput SRAM 0;1540;1015072;0.630497
Read Throughput;1540;512890;1.247831
Scalar Read Throughput;1540;1015060;0.630505
Write Throughput SRAM 0;1540;889792;0.719269
Scalar Write Throughput SRAM 0;1540;1015062;0.630503
Write Throughput;1540;513136;1.247233
Scalar Write Throughput;1540;1015063;0.630503
Read Throughput SRAM 0;1612;512331;1.249192
Scalar Read Throughput SRAM 0;1612;1014446;0.630886
Read Throughput;1612;512330;1.249195
Scalar Read Throughput;1612;1014446;0.630886
Write Throughput SRAM 0;1612;889436;0.719557
Scalar Write Throughput SRAM 0;1612;1014449;0.630884
Write Throughput;1612;512580;1.248586
Scalar Write Throughput;1612;1014448;0.630885
Read Throughput SRAM 0;1688;511800;1.250489
Scalar Read Throughput SRAM 0;1688;1013859;0.631251
Read Throughput;1688;511798;1.250493
Scalar Read Throughput;1688;1013859;0.631251
Write Throughput SRAM 0;1688;888215;0.720546
Scalar Write Throughput SRAM 0;1688;1013856;0.631253
Write Throughput;1688;512039;1.249905
Scalar Write Throughput;1688;1013857;0.631253
Read Throughput SRAM 0;1768;511290;1.251736
Scalar Read Throughput SRAM 0;1768;1013292;0.631605
Read Throughput;1768;511288;1.251741
Scalar Read Throughput;1768;1013293;0.631604
Write Throughput SRAM 0;1768;887918;0.720787
Scalar Write Throughput SRAM 0;1768;1013295;0.631603
Write Throughput;1768;511528;1.251153
Scalar Write Throughput;1768;1013294;0.631603
Read Throughput SRAM 0;1848;510829;1.252865
Scalar Read Throughput SRAM 0;1848;1012787;0.631920
Read Throughput;1848;510829;1.252865
Scalar Read Throughput;1848;1012785;0.631921
Write Throughput SRAM 0;1848;887657;0.720999
Scalar Write Throughput SRAM 0;1848;1012794;0.631915
Write Throughput;1848;511073;1.252267
Scalar Write Throughput;1848;1012788;0.631919
Read Throughput SRAM 0;1936;510357;1.254024
Scalar Read Throughput SRAM 0;1936;1012259;0.632249
Read Throughput;1936;510356;1.254027
Scalar Read Throughput;1936;1012262;0.632247
Write Throughput SRAM 0;1936;887381;0.721223
Scalar Write Throughput SRAM 0;1936;1012261;0.632248
Write Throughput;1936;510597;1.253435
Scalar Write Throughput;1936;1012263;0.632247
Read Throughput SRAM 0;2028;509912;1.255118
Scalar Read Throughput SRAM 0;2028;1011770;0.632555
Read Throughput;2028;509912;1.255118
Scalar Read Throughput;2028;1011773;0.632553
Write Throughput SRAM 0;2028;887868;0.720828
Scalar Write Throughput SRAM 0;2028;1011772;0.632554
Write Throughput;2028;510155;1.254521
Scalar Write Throughput;2028;1011768;0.632556
Read Throughput SRAM 0;2124;509486;1.256168
Scalar Read Throughput SRAM 0;2124;1011297;0.632851
Read Throughput;2124;509486;1.256168
Scalar Read Throughput;2124;1011309;0.632843
Write Throughput SRAM 0;2124;887562;0.721076
Scalar Write Throughput SRAM 0;2124;1011298;0.632850
Write Throughput;2124;509735;1.255554
Scalar Write Throughput;2124;1011298;0.632850
Read Throughput SRAM 0;2224;509086;1.257155
Scalar Read Throughput SRAM 0;2224;1010855;0.633127
Read Throughput;2224;509085;1.257157
Scalar Read Throughput;2224;1010857;0.633126
Write Throughput SRAM 0;2224;886646;0.721821
Scalar Write Throughput SRAM 0;2224;1010855;0.633127
Write Throughput;2224;509329;1.256555
Scalar Write Throughput;2224;1010856;0.633127
Read Throughput SRAM 0;2328;508703;1.258101
Scalar Read Throughput SRAM 0;2328;1010431;0.633393
Read Throughput;2328;508704;1.258099
Scalar Read Throughput;2328;1010431;0.633393
Write Throughput SRAM 0;2328;886419;0.722006
Scalar Write Throughput SRAM 0;2328;1010431;0.633393
Write Throughput;2328;508946;1.257501
Scalar Write Throughput;2328;1010432;0.633392
Read Throughput SRAM 0;2436;508340;1.259000
Scalar Read Throughput SRAM 0;2436;1010033;0.633643
Read Throughput;2436;508341;1.258997
Scalar Read Throughput;2436;1010040;0.633638
Write Throughput SRAM 0;2436;886829;0.721672
Scalar Write Throughput SRAM 0;2436;1010034;0.633642
